Condition,Trial,Amplitude_mean_step0.0,Amplitude_mean_step1.0,Amplitude_mean_step2.0,Amplitude_mean_step3.0,Amplitude_mean_step4.0,Velocity_mean_step0.0,Velocity_mean_step1.0,Velocity_mean_step2.0,Velocity_mean_step3.0,Velocity_mean_step4.0
gauss,1,0.0,0.4411147540983607,3.5527121092896174,-0.0753934401639343,4.168189666666667,1.0135628415300548,1.0512965464480872,1.0498196393442623,1.050594163934426,1.0495542076502733
gauss,2,0.0,0.6133278708743167,3.5305665081967206,0.3696885132240437,4.1459410000000005,1.154896174863388,1.0340207322404371,1.0257688907103824,1.0123386612021859,1.0332076666666667
gauss,3,0.0,-0.07706557000000014,3.087001038251366,-0.1197541073770491,1.6483920000000003,1.0069289617486337,1.0107534644808742,1.0066417213114753,1.020139825136612,1.02086543715847
linear,1,0.0,0.466327868852459,3.5167299016393443,0.28606558207650273,1.268173348087432,0.9862622950819673,1.008901393442623,1.0061038415300547,1.007759699453552,0.9951896612021858
linear,2,0.0,0.7794918032786883,4.262506174863387,-0.13602459016393442,3.699346269307832,1.0019604735883425,0.9886627322404372,0.9981288743169398,1.0051875464480875,0.9984892442622951
linear,3,0.0,0.10945901683060107,2.0276870262295077,0.44867210546448083,2.751211277595628,1.0722732240437158,1.090835174863388,1.0880395716757743,1.0895814262295083,1.0764486448087431
