Trial	Setting	Choice	Duration	Timestamp
1	TopLinear_BottomGauss	Lower	20	2026-01-14T18:06:51.7440274+09:00
2	TopGauss_BottomLinear	Upper	20	2026-01-14T18:07:15.7153927+09:00
