cond,frames,duration_s,lap_mean,lap_std,lap_cv,lap_1Hz_ratio,rms_mean,rms_std,rms_cv,rms_1Hz_ratio
C1_linear,540,8.983333333333333,0.021503728286673626,0.001188812467160143,0.05528401382437783,0.7089802478116961,0.14690066079298655,0.007985048713152953,0.054356791968749193,0.8246480663410216
C2_gauss_sigma0p6,540,8.983333333333333,0.02032088539045718,0.001134405352246226,0.055824599894370254,0.04532486042167165,0.14149599867286505,0.006993919550432171,0.04942839067254145,0.07071463340326724
C3_gauss_injected,540,8.983333333333333,0.025417575650606993,0.004829088697632454,0.18999013021633324,0.8776605088648559,0.14489403190436187,0.0068346671462555,0.04717010776259337,0.3221735328402895
C4_linear_suppressed,540,8.983333333333333,0.02082224542413045,0.0011477871516436917,0.055123118239228316,0.1138055297646233,0.14899660702104922,0.00760824906968278,0.05106323674568443,0.8767168459900043
C5_linear_energyMatched,540,8.983333333333333,0.020705560584449105,0.0008837857144178103,0.042683494036770145,0.14143223053411716,0.14900219330081232,0.007607874066503348,0.05105880555788481,0.8758286913977805
