cond,frame,time_s,lap_meanabs,rms_contrast,diff_rms,roi_w,roi_h
C5_linear_energyMatched,0,0.0,0.020892741158604622,0.15843835473060608,0.0,321,594
C5_linear_energyMatched,1,0.016666666666666666,0.021077925339341164,0.1582542508840561,0.014249717816710472,321,594
C5_linear_energyMatched,2,0.03333333333333333,0.021238675341010094,0.15802669525146484,0.01426400151103735,321,594
C5_linear_energyMatched,3,0.05,0.021452488377690315,0.1579028218984604,0.014287366531789303,321,594
C5_linear_energyMatched,4,0.06666666666666667,0.021555323153734207,0.1575106680393219,0.014140725135803223,321,594
C5_linear_energyMatched,5,0.08333333333333333,0.021698961034417152,0.15713343024253845,0.014118095859885216,321,594
C5_linear_energyMatched,6,0.1,0.021769056096673012,0.15693767368793488,0.01408233679831028,321,594
C5_linear_energyMatched,7,0.11666666666666667,0.021837586537003517,0.15667223930358887,0.014007297344505787,321,594
C5_linear_energyMatched,8,0.13333333333333333,0.02162286825478077,0.156216099858284,0.013878514990210533,321,594
C5_linear_energyMatched,9,0.15,0.02176790125668049,0.1560312807559967,0.013744247145950794,321,594
C5_linear_energyMatched,10,0.16666666666666666,0.02157663181424141,0.1556282490491867,0.013662433251738548,321,594
C5_linear_energyMatched,11,0.18333333333333332,0.021725617349147797,0.15554936230182648,0.013473915867507458,321,594
C5_linear_energyMatched,12,0.2,0.021777037531137466,0.1552671194076538,0.013379078358411789,321,594
C5_linear_energyMatched,13,0.21666666666666667,0.02175663597881794,0.15485697984695435,0.013162972405552864,321,594
C5_linear_energyMatched,14,0.23333333333333334,0.02189352735877037,0.15480045974254608,0.01295432634651661,321,594
C5_linear_energyMatched,15,0.25,0.021683581173419952,0.15442194044589996,0.01282908208668232,321,594
C5_linear_energyMatched,16,0.26666666666666666,0.021771524101495743,0.15442177653312683,0.012648781761527061,321,594
C5_linear_energyMatched,17,0.2833333333333333,0.02137441746890545,0.15411201119422913,0.012391681782901287,321,594
C5_linear_energyMatched,18,0.3,0.021382972598075867,0.1537841111421585,0.012228958308696747,321,594
