time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
0.6166667,0.39963764,0.5525989,0.04750947,0.0002539669,8.441132e-08,1.7444193e-12,2.2414448e-18,1.7907277e-25,8.895331e-34,2.75e-43,1.0000001
0.6333333,0.38768464,0.56147236,0.050559733,0.00028307887,9.8545435e-08,2.1330058e-12,2.8706038e-18,2.40206e-25,1.24973775e-33,4.04e-43,0.99999994
0.65,0.37582648,0.57008994,0.053768244,0.0003153083,1.14966426e-07,2.6063548e-12,3.6738565e-18,3.2198588e-25,1.754618e-33,5.94e-43,1.0
0.6666667,0.3640752,0.57843333,0.057140253,0.0003509601,1.3402916e-07,3.1824849e-12,4.6985422e-18,4.313041e-25,2.4616617e-33,8.74e-43,0.9999999
0.68333334,0.35244298,0.5864855,0.06068097,0.00039036782,1.5614269e-07,3.8832566e-12,6.0048014e-18,5.7732864e-25,3.451294e-33,1.282e-42,1.0
0.7,0.3409411,0.5942293,0.06439547,0.00043389376,1.8177663e-07,4.734972e-12,7.668769e-18,7.7224937e-25,4.8352854e-33,1.882e-42,0.99999994
0.71666664,0.32958072,0.6016482,0.0682889,0.00048193033,2.1146825e-07,5.769426e-12,9.786897e-18,1.0322564e-24,6.769417e-33,2.76e-42,1.0
0.73333335,0.31837213,0.6087265,0.07236623,0.00053490413,2.4583466e-07,7.0248594e-12,1.2481278e-17,1.3788089e-24,9.470621e-33,4.046e-42,1.0
0.75,0.30732545,0.6154487,0.076632276,0.00059327827,2.8558208e-07,8.547336e-12,1.5905798e-17,1.8403955e-24,1.3239948e-32,5.922e-42,1.0
0.76666665,0.29644996,0.62180036,0.08109181,0.00065755134,3.315191e-07,1.03923285e-11,2.0255592e-17,2.4547168e-24,1.8496543e-32,8.666e-42,1.0
0.78333336,0.2857544,0.6277675,0.08574942,0.00072826585,3.845697e-07,1.262661e-11,2.5776682e-17,3.2718306e-24,2.582146e-32,1.267e-41,0.99999994
0.8,0.27524716,0.63333696,0.090609424,0.0008060064,4.4579014e-07,1.5330247e-11,3.27789e-17,4.3577666e-24,3.6021593e-32,1.8514e-41,0.99999994
0.81666666,0.26493555,0.6384965,0.095676064,0.0008914037,5.163835e-07,1.8599327e-11,4.165318e-17,5.799962e-24,5.0214203e-32,2.7031e-41,1.0
0.8333333,0.2548266,0.64323443,0.100953214,0.000985139,5.977256e-07,2.2549332e-11,5.2891933e-17,7.713927e-24,6.994945e-32,3.9438e-41,1.0
0.85,0.24492657,0.64754003,0.10644469,0.0010879464,6.9138105e-07,2.7318365e-11,6.7114735e-17,1.0251947e-23,9.737014e-32,5.7501e-41,0.99999994
0.8666667,0.23524113,0.6514037,0.11215372,0.0012006159,7.99136e-07,3.3072267e-11,8.510066e-17,1.3615402e-23,1.3544119e-31,8.3774e-41,0.99999994
0.8833333,0.22577523,0.6548163,0.118083484,0.0013239908,9.230114e-07,4.0008857e-11,1.0782823e-16,1.806893e-23,1.8826301e-31,1.2196e-40,0.99999994
0.9,0.21653327,0.65777,0.1242367,0.0014589911,1.065323e-06,4.8365683e-11,1.3652779e-16,2.3962294e-23,2.61494e-31,1.77428e-40,1.0
0.9166667,0.20751892,0.6602575,0.13061577,0.0016065879,1.2286832e-06,5.842534e-11,1.7273814e-16,3.1754453e-23,3.6294742e-31,2.57938e-40,1.0
