Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,FunctionRatio,CameraSpeed
GaussOnlyFreeze,A,0.285963,B,0.628225,C,0.085812,1783.333,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.275469,B,0.633848,C,0.090683,1800.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.265172,B,0.639067,C,0.095761,1816.667,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.255078,B,0.643869,C,0.101053,1833.333,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.245193,B,0.648246,C,0.106561,1850.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.235524,B,0.652187,C,0.112289,1866.667,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.226075,B,0.655685,C,0.118240,1883.333,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.216850,B,0.658732,C,0.124418,1900.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.207853,B,0.661321,C,0.130826,1916.667,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.199088,B,0.663447,C,0.137466,1933.333,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.190556,B,0.665105,C,0.144339,1950.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.182260,B,0.666292,C,0.151449,1966.667,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.174200,B,0.667005,C,0.158795,1983.333,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.166378,B,0.667243,C,0.166379,2000.000,0.000,Velocity,1,0,1.000000,0.667243,1.000
GaussOnlyFreeze,A,0.158795,B,0.667005,C,0.174200,2016.667,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.151449,B,0.666292,C,0.182260,2033.333,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.144339,B,0.665105,C,0.190556,2050.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.137466,B,0.663447,C,0.199088,2066.667,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.130826,B,0.661321,C,0.207853,2083.333,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.124418,B,0.658732,C,0.216850,2100.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.118240,B,0.655685,C,0.226075,2116.667,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.112289,B,0.652187,C,0.235524,2133.333,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.106561,B,0.648246,C,0.245194,2150.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.101053,B,0.643869,C,0.255078,2166.667,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.095761,B,0.639067,C,0.265172,2183.333,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.090683,B,0.633848,C,0.275469,2200.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.085812,B,0.628225,C,0.285963,2216.667,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.081145,B,0.622210,C,0.296645,2233.333,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.076678,B,0.615814,C,0.307508,2250.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
