Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,CameraSpeed
LinearOnly,cam1,1.000000,-1,0.000000,cam2,0.000000,0.000,1.000,Velocity,1,2,1.209057,1.000
LinearOnly,cam1,0.983333,-1,0.000000,cam2,0.016667,16.667,0.376,Velocity,1,0.128,1.026613,1.000
LinearOnly,cam1,0.966667,-1,0.000000,cam2,0.033333,33.333,0.376,Velocity,1,0.128,1.039554,1.000
LinearOnly,cam1,0.950000,-1,0.000000,cam2,0.050000,50.000,0.376,Velocity,1,0.128,1.052062,1.000
LinearOnly,cam1,0.933333,-1,0.000000,cam2,0.066667,66.667,0.376,Velocity,1,0.128,1.064000,1.000
LinearOnly,cam1,0.916667,-1,0.000000,cam2,0.083333,83.333,0.376,Velocity,1,0.128,1.075236,1.000
LinearOnly,cam1,0.900000,-1,0.000000,cam2,0.100000,100.000,0.376,Velocity,1,0.128,1.085649,1.000
LinearOnly,cam1,0.883333,-1,0.000000,cam2,0.116667,116.667,0.377,Velocity,1,0.131,1.097352,1.000
LinearOnly,cam1,0.866667,-1,0.000000,cam2,0.133333,133.333,0.377,Velocity,1,0.131,1.105981,1.000
LinearOnly,cam1,0.850000,-1,0.000000,cam2,0.150000,150.000,0.377,Velocity,1,0.131,1.113449,1.000
LinearOnly,cam1,0.833333,-1,0.000000,cam2,0.166667,166.667,0.377,Velocity,1,0.131,1.119674,1.000
LinearOnly,cam1,0.816667,-1,0.000000,cam2,0.183333,183.333,0.377,Velocity,1,0.131,1.124588,1.000
LinearOnly,cam1,0.800000,-1,0.000000,cam2,0.200000,200.000,0.376,Velocity,1,0.128,1.125203,1.000
LinearOnly,cam1,0.783333,-1,0.000000,cam2,0.216667,216.667,0.376,Velocity,1,0.128,1.127299,1.000
LinearOnly,cam1,0.766667,-1,0.000000,cam2,0.233333,233.333,0.377,Velocity,1,0.131,1.131000,1.000
LinearOnly,cam1,0.750000,-1,0.000000,cam2,0.250000,250.000,0.376,Velocity,1,0.128,1.127299,1.000
LinearOnly,cam1,0.733333,-1,0.000000,cam2,0.266667,266.667,0.376,Velocity,1,0.128,1.125203,1.000
LinearOnly,cam1,0.716667,-1,0.000000,cam2,0.283333,283.333,0.375,Velocity,1,0.125,1.118882,1.000
LinearOnly,cam1,0.700000,-1,0.000000,cam2,0.300000,300.000,0.376,Velocity,1,0.128,1.116934,1.000
LinearOnly,cam1,0.683333,-1,0.000000,cam2,0.316667,316.667,0.376,Velocity,1,0.128,1.110851,1.000
LinearOnly,cam1,0.666667,-1,0.000000,cam2,0.333333,333.333,0.377,Velocity,1,0.131,1.105981,1.000
LinearOnly,cam1,0.650000,-1,0.000000,cam2,0.350000,350.000,0.376,Velocity,1,0.128,1.095122,1.000
LinearOnly,cam1,0.633333,-1,0.000000,cam2,0.366667,366.667,0.376,Velocity,1,0.128,1.085649,1.000
LinearOnly,cam1,0.616667,-1,0.000000,cam2,0.383333,383.333,0.376,Velocity,1,0.128,1.075236,1.000
LinearOnly,cam1,0.600000,-1,0.000000,cam2,0.400000,400.000,0.376,Velocity,1,0.128,1.064000,1.000
LinearOnly,cam1,0.583333,-1,0.000000,cam2,0.416667,416.667,0.376,Velocity,1,0.128,1.052062,1.000
LinearOnly,cam1,0.566667,-1,0.000000,cam2,0.433333,433.333,0.376,Velocity,1,0.128,1.039554,1.000
LinearOnly,cam1,0.550000,-1,0.000000,cam2,0.450000,450.000,0.376,Velocity,1,0.128,1.026613,1.000
LinearOnly,cam1,0.533333,-1,0.000000,cam2,0.466667,466.667,0.377,Velocity,1,0.131,1.013693,1.000
LinearOnly,cam1,0.516667,-1,0.000000,cam2,0.483333,483.333,0.377,Velocity,1,0.131,1.000000,1.000
LinearOnly,cam1,0.500000,-1,0.000000,cam2,0.500000,500.000,0.376,Velocity,1,0.128,0.986620,1.000
LinearOnly,cam1,0.483333,-1,0.000000,cam2,0.516667,516.667,0.376,Velocity,1,0.128,0.973387,1.000
LinearOnly,cam1,0.466667,-1,0.000000,cam2,0.533333,533.333,0.376,Velocity,1,0.128,0.960446,1.000
LinearOnly,cam1,0.450000,-1,0.000000,cam2,0.550000,550.000,0.376,Velocity,1,0.128,0.947938,1.000
LinearOnly,cam1,0.433333,-1,0.000000,cam2,0.566667,566.667,0.376,Velocity,1,0.128,0.936000,1.000
LinearOnly,cam1,0.416667,-1,0.000000,cam2,0.583333,583.333,0.376,Velocity,1,0.128,0.924763,1.000
LinearOnly,cam1,0.400000,-1,0.000000,cam2,0.600000,600.000,0.376,Velocity,1,0.128,0.914351,1.000
LinearOnly,cam1,0.383333,-1,0.000000,cam2,0.616667,616.667,0.376,Velocity,1,0.128,0.904878,1.000
LinearOnly,cam1,0.366667,-1,0.000000,cam2,0.633333,633.333,0.376,Velocity,1,0.128,0.896446,1.000
LinearOnly,cam1,0.350000,-1,0.000000,cam2,0.650000,650.000,0.376,Velocity,1,0.128,0.889149,1.000
LinearOnly,cam1,0.333333,-1,0.000000,cam2,0.666667,666.667,0.376,Velocity,1,0.128,0.883066,1.000
LinearOnly,cam1,0.316667,-1,0.000000,cam2,0.683333,683.333,0.376,Velocity,1,0.128,0.878265,1.000
