file,subject,condition,V0,A1,A2,φ1,φ2,R,MSE
D:\vectionProject\public\ExperimentData55\20251126_170655_ExperimentPattern_LuminanceMinusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_2.csv,LL_E,LuminanceMinusCompensate,0.942,0.368,0.428,2.010619,1.376018,0.5992077687993959,0.16390515882138146
D:\vectionProject\public\ExperimentData55\20251126_171237_ExperimentPattern_LuminanceMinusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_3.csv,LL_E,LuminanceMinusCompensate,2.0,1.481,-0.289,6.283185,0.4209734,0.7544670304261148,2.1362202667118457
D:\vectionProject\public\ExperimentData55\20251126_171456_ExperimentPattern_LuminanceLinearMix_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_1.csv,LL_E,LuminanceLinearMix_New,0.934,1.235,1.265,3.468318,2.808584,1.8928203721683727,1.5631805815319737
D:\vectionProject\public\ExperimentData55\20251126_172037_ExperimentPattern_CameraJumpMovePlusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_3.csv,LL_E,CameraJumpMovePlusCompensate,1.18,-1.0,1.295,1.275487,3.68823,1.386577683753221,1.3756743454136733
D:\vectionProject\public\ExperimentData55\20251126_172456_ExperimentPattern_CameraJumpMoveMinusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_1.csv,LL_E,CameraJumpMoveMinusCompensate,0.956,1.208,0.665,2.243097,1.746726,1.4424109691405536,0.9570545162865107
D:\vectionProject\public\ExperimentData55\20251126_172758_ExperimentPattern_LuminanceMinusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_1.csv,LL_E,LuminanceMinusCompensate,0.83,0.53,-0.505,4.12177,3.185575,0.8820108262895489,0.296274118669284
D:\vectionProject\public\ExperimentData55\20251126_173121_ExperimentPattern_CameraJumpMovePlusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_1.csv,LL_E,CameraJumpMovePlusCompensate,0.78,1.067,-0.214,4.473628,2.004336,1.3951905037480898,0.6414961063201136
D:\vectionProject\public\ExperimentData55\20251126_173357_ExperimentPattern_CameraJumpMovePlusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_2.csv,LL_E,CameraJumpMovePlusCompensate,1.01,-0.028,0.02000001,1.753009,1.815841,0.034068620673815254,0.000691092297567629
D:\vectionProject\public\ExperimentData55\20251126_173623_ExperimentPattern_LuminancePlusCompensate_ParticipantName_LL_Subject_Name_LL_E_A1A2_TrialNumber_3.csv,LL_E,LuminancePlusCompensate,0.97,1.022,-0.358,2.155133,1.746726,1.1163801332775636,0.5864580678665348
PREV_MODPARAMS,YAMA_A,LuminanceLinearMix_Old,0.992,0.54,-0.528,1.849,1.462,0.7613283376238499,0.2845428739117402
PREV_MODPARAMS,OMU_B,LuminanceLinearMix_Old,1.131,0.522,-0.223,2.528,3.525,0.5018904411373885,0.17798184418474436
PREV_MODPARAMS,ONO_C,LuminanceLinearMix_Old,1.067,0.632,0.461,3.663,5.123,0.7331482055037579,0.3113033170358792
PREV_MODPARAMS,HOU_D,LuminanceLinearMix_Old,0.951,0.275,0.92,3.031,5.982,1.009696454945248,0.46234863879402865
PREV_MODPARAMS,LL_E,LuminanceLinearMix_Old,1.027,-0.278,-0.292,1.849,3.728,0.39257295004053094,0.08184203318812655
